EB_EB_INdt;SM1;SM2;SM3;SM4;SM5
25.10.2016;0,550436664;0,530133251;0,427238748;0,534963375;0,528003264
26.10.2016;0,551486794;0,530654178;0,429163854;0,542151023;0,533639854
27.10.2016;0,531120699;0,527961499;0,410934265;0,510591095;0,519070245
28.10.2016;0,523040772;0,529466201;0,407553103;0,498122227;0,511207258
29.10.2016;0,407689557;0,523912721;0,408702317;0,494182309;0,508384766
30.10.2016;0,38391044;0,520380654;0,406659139;0,487583572;0,504939726
31.10.2016;0,383217544;0,519067013;0,402901146;0,481023897;0,502218189
01.11.2016;0,382210852;0,514301106;0,402288909;0,486452395;0,499436273
02.11.2016;0,38482385;0,511037959;0,40523305;0,494794532;0,50142585
03.11.2016;0,398009247;0,528369287;0,408884488;0,523623637;0,514381683
04.11.2016;0,396308139;0,524234907;0,405565626;0,506740394;0,507409776
05.11.2016;0,396151145;0,52242825;0,411149318;0,516260272;0,510110833
06.11.2016;0,422364363;0,534160199;0,437215293;0,569011029;0,539016454
07.11.2016;0,409199643;0,538562198;0,417081713;0,549223436;0,52798406
08.11.2016;0,405228022;0,544772941;0,413302;0,538398382;0,52234386
09.11.2016;0,403115785;0,538243201;0,413323927;0,528387353;0,517397761
10.11.2016;0,40444593;0,53006007;0,41444609;0,531847774;0,519696737
11.11.2016;0,408744064;0,533511588;0,416066938;0,535735796;0,522460201
12.11.2016;0,408808212;0,53380198;0,416334605;0,537461668;0,524137695
13.11.2016;0,406355245;0,539353751;0,413095088;0,534411611;0,522131666
14.11.2016;0,406236383;0,537120305;0,41210534;0,531796203;0,520549457
15.11.2016;0,40957124;0,533681029;0,411247082;0,529357083;0,51978774
16.11.2016;0,431521191;0,53175284;0,443248602;0,554181319;0,53402551
17.11.2016;0,429605393;0,532027382;0,432318186;0,550444719;0,532004011
18.11.2016;0,423959982;0,53871667;0,424504394;0,544091888;0,526689787
19.11.2016;0,429386669;0,536259799;0,424821208;0,557378349;0,533022768
20.11.2016;0,430231453;0,537565902;0,419566377;0,544242984;0,526642772
