FE_GW_EXdt;SM1;SM2;SM3;SM4;SM5
24.10.2016;0,361355159;0,433084537;0,393246383;0,444911681;0,499902628
25.10.2016;0,379807449;0,439543182;0,410523288;0,482108141;0,516027267
26.10.2016;0,387515349;0,446516272;0,415130331;0,500626864;0,530965724
27.10.2016;0,367427719;0,444679054;0,403574832;0,471766515;0,518833342
28.10.2016;0,363651788;0,435325621;0,397831427;0,464986308;0,515395838
29.10.2016;0,363311366;0,433141685;0,395920786;0,462737895;0,511246765
30.10.2016;0,362396704;0,431849776;0,392170278;0,457688788;0,508911334
31.10.2016;0,360605615;0,430169503;0,388718052;0,456001144;0,505469053
01.11.2016;0,359053936;0,428446736;0,385947621;0,454042522;0,501023335
02.11.2016;0,388317963;0,438818994;0,398215536;0,479435641;0,504971854
03.11.2016;0,370890062;0,458186695;0,41115354;0,495398797;0,523819627
04.11.2016;0,363529526;0,449029431;0,401470171;0,471974783;0,517120412
05.11.2016;0,378330261;0,448329287;0,402040291;0,470157518;0,513415494
06.11.2016;0,522874858;0,461143683;0,467820391;0,576515149;0,54240003
07.11.2016;0,418702709;0,461003423;0,427135884;0,511011539;0,532092965
08.11.2016;0,39727891;0,459495719;0,412112608;0,480237277;0,523276173
09.11.2016;0,394969104;0,45161482;0,406851797;0,474382821;0,517837675
10.11.2016;0,399722074;0,456229331;0,418700037;0,486214221;0,523847165
11.11.2016;0,479571303;0,46488293;0,450063982;0,534113919;0,54445889
12.11.2016;0,417899418;0,462563578;0,426183585;0,498458095;0,535395248
13.11.2016;0,398991206;0,458921363;0,410082355;0,478458779;0,524583118
14.11.2016;0,395697788;0,451721718;0,401957782;0,47249159;0,518994228
15.11.2016;0,394000923;0,449741658;0,398406434;0,470614085;0,514946525
16.11.2016;0,435565786;0,454839213;0,438715018;0,513787336;0,526082692
17.11.2016;0,427575912;0,46354293;0,432919522;0,521956361;0,539303929
18.11.2016;0,406247978;0,458523168;0,419117828;0,492728467;0,527297281
19.11.2016;0,435522192;0,462243702;0,437365878;0,511002513;0,534778463
20.11.2016;0,409783749;0,461818469;0,4226632;0,486056887;0,522602872
21.11.2016;0,406142216;0,456088958;0,413431796;0,47668858;0,513790372
22.11.2016;0,403598234;0,449897526;0,408383382;0,473665032;0,512619488
23.11.2016;0,400889783;0,453723457;0,403436353;0,470139503;0,514523909
24.11.2016;0,398808469;0,466288729;0,40207256;0,468829133;0,517582406
25.11.2016;0,39769679;0,481421436;0,401222829;0,465594934;0,515074184
26.11.2016;0,396737899;0,484774195;0,408309326;0,463586372;0,512949191
27.11.2016;0,40234749;0,491011561;0,450131663;0,495193808;0,522716087
28.11.2016;0,399295418;0,491692065;0,446054878;0,479830636;0,525849184
29.11.2016;0,424759429;0,4858605;0,42025326;0,438409032;0,513581938
30.11.2016;0,346458054;0,479415735;0,392038063;0,390523906;0,501628078
01.12.2016;0,368119232;0,479431912;0,413520216;0,44462567;0,500273489
02.12.2016;0,381539311;0,479691971;0,413748313;0,451184489;0,502196828
03.12.2016;NA;0,485561202;NA;0,479606789;0,511520202
04.12.2016;NA;0,484919269;NA;0,467082663;0,51358019
05.12.2016;NA;0,482450889;NA;0,453678661;0,510612389
06.12.2016;NA;0,47575996;NA;0,410880828;0,487823684
07.12.2016;NA;0,469920806;NA;NA;0,481191825
08.12.2016;NA;0,462914786;NA;NA;0,489909878
