GW_GW_INdt;SM1;SM2;SM3;SM4;SM5
20.11.2016;0,424562994;0,471936318;0,353730302;0,436229242;0,473837081
21.11.2016;0,41260022;0,464087267;0,346788597;0,422170251;0,46346481
22.11.2016;0,406519705;0,459440252;0,343407014;0,415944157;0,458348998
23.11.2016;0,404043502;0,454069975;0,341082885;0,412466904;0,45481252
24.11.2016;0,403179776;0,452014469;0,339778311;0,410281444;0,451644777
25.11.2016;0,405143011;0,454709737;0,341063961;0,413135702;0,452948092
26.11.2016;0,403905507;0,450831341;0,339526082;0,411341021;0,451375654
27.11.2016;0,406714961;0,452567855;0,342415291;0,419731894;0,454423928
28.11.2016;0,404729784;0,452197778;0,336156491;0,410552282;0,45040096
29.11.2016;NA;0,444363068;0,302507666;NA;0,463405484
30.11.2016;NA;0,435088171;NA;NA;0,451931824
01.12.2016;NA;0,42962393;NA;NA;0,444454033
02.12.2016;NA;0,424037066;NA;NA;0,440523973
03.12.2016;NA;0,409230578;NA;NA;0,433350549
04.12.2016;NA;0,395969256;NA;NA;0,427859462
05.12.2016;NA;0,379274023;NA;NA;0,412995713
06.12.2016;NA;0,368418623;NA;NA;NA
07.12.2016;NA;0,35864528;NA;NA;NA
08.12.2016;NA;0,332605033;NA;NA;NA
09.12.2016;NA;NA;NA;NA;NA
10.12.2016;NA;NA;NA;NA;NA
11.12.2016;NA;NA;NA;NA;NA
12.12.2016;NA;NA;NA;NA;NA
13.12.2016;NA;NA;NA;NA;NA
14.12.2016;NA;NA;NA;NA;NA
15.12.2016;NA;NA;NA;NA;NA
16.12.2016;NA;NA;NA;NA;NA
17.12.2016;NA;NA;NA;NA;NA
18.12.2016;NA;NA;NA;NA;NA
19.12.2016;NA;NA;NA;NA;NA
20.12.2016;NA;NA;NA;NA;NA
21.12.2016;NA;NA;NA;NA;NA
22.12.2016;NA;NA;NA;NA;NA
23.12.2016;NA;NA;NA;NA;NA
24.12.2016;NA;NA;NA;NA;NA
25.12.2016;NA;NA;NA;NA;NA
26.12.2016;NA;NA;NA;NA;NA
27.12.2016;NA;NA;NA;NA;NA
28.12.2016;NA;NA;NA;NA;NA
