FE_EB_INdt;SM1;SM2;SM3;SM4;SM5
24.10.2016;0,445543522;0,552952588;0,41180357;0,36315695;0,489950834
25.10.2016;0,485128524;0,569229337;0,428612418;0,379556825;0,510506369
26.10.2016;0,484410332;0,579863721;0,425323511;0,380511774;0,525846259
27.10.2016;0,469919672;0,572167064;0,416168178;0,370435107;0,522636616
28.10.2016;0,466972135;0,564432042;0,412437643;0,369285006;0,518857919
29.10.2016;0,461703078;0,559482173;0,410490025;0,369281395;0,508207768
30.10.2016;0,458120443;0,555873428;0,412229566;0,367727315;0,498577225
31.10.2016;0,458402422;0,550772879;0,411148553;0,366467614;0,494556463
01.11.2016;0,455605965;0,546073816;0,409738834;0,364642521;0,492559316
02.11.2016;0,478874664;0,551989638;0,423194148;0,380490518;0,504099473
03.11.2016;0,50306049;0,574919904;0,427142538;0,384806831;0,520802297
04.11.2016;0,484516656;0,565025832;0,421001384;0,374865325;0,515379838
05.11.2016;0,48133226;0,561567672;0,422869079;0,38010595;0,522414948
06.11.2016;0,542698296;0,619022312;0,45296105;0,435023522;0,566383154
07.11.2016;0,515160541;0,589139961;0,429821332;0,419702457;0,57264894
08.11.2016;0,504451736;0,575571176;0,425161534;0,403103312;0,563666432
09.11.2016;0,507846345;0,571487286;0,425532438;0,402559976;0,565829618
10.11.2016;0,525667586;0,582410722;0,436370744;0,424188535;0,575914245
11.11.2016;0,550851262;0,610628084;0,453408845;0,445333527;0,592417355
12.11.2016;0,523692865;0,595050819;0,434518626;0,431144388;0,590611015
13.11.2016;0,504966572;0,57909334;0,429640709;0,416946519;0,583199447
14.11.2016;0,501903492;0,573965541;0,429096362;0,413638174;0,581926403
15.11.2016;0,5007946;0,57009264;0,427117434;0,413685816;0,581252594
16.11.2016;0,543609401;0,580877029;0,449919249;0,448466159;0,596020278
17.11.2016;0,554689252;0,597729292;0,438135567;0,438760621;0,59744316
18.11.2016;0,531188412;0,575026271;0,433996076;0,431452729;0,591420476
19.11.2016;0,563036426;0,603027756;0,448198407;0,450757997;0,599886274
20.11.2016;0,53527385;0,585741703;0,437603911;0,437281038;0,595749976
21.11.2016;0,522943298;0,576417322;0,437113396;0,430985372;0,593206588
22.11.2016;0,519895767;0,573337623;NA;0,427421997;0,5942897
23.11.2016;0,520787956;0,568667952;NA;0,423996654;0,592581876
24.11.2016;0,516065542;0,561645123;NA;0,42308588;0,59214985
25.11.2016;0,514406525;0,565596591;NA;0,421398593;0,591869037
26.11.2016;0,516499642;0,564729496;NA;0,420050704;0,58916496
27.11.2016;0,540577633;0,567729436;NA;0,444148618;0,598237031
28.11.2016;0,53052683;0,576248824;NA;0,436773377;0,59635373
29.11.2016;0,495302795;0,562328114;NA;0,400438044;0,543328987
30.11.2016;0,430898305;0,550334071;NA;NA;0,508802717
01.12.2016;0,493475127;0,553289279;NA;0,389760962;0,531112337
02.12.2016;0,497233648;0,558553196;NA;0,38749251;0,534523682
03.12.2016;0,515231156;0,565932744;NA;0,408248985;0,552453436
04.12.2016;0,50857842;0,566398768;NA;0,402196303;0,553120792
05.12.2016;0,498673938;0,562753208;NA;0,392692602;0,543780843
06.12.2016;NA;0,552808578;NA;0,360977726;0,510011084
07.12.2016;NA;0,545606827;NA;NA;0,486116266
08.12.2016;NA;0,537441195;NA;NA;0,482416507
09.12.2016;NA;0,532178443;NA;NA;0,485259517
10.12.2016;NA;0,52880778;NA;NA;0,482588778
11.12.2016;NA;0,523555841;NA;NA;0,480022781
12.12.2016;NA;0,540929582;NA;NA;0,48539119
13.12.2016;0,337504842;0,557228993;NA;NA;0,492241402
14.12.2016;0,361174142;0,558391453;NA;NA;0,494920651
15.12.2016;0,388247173;0,561667348;NA;NA;0,491343076
16.12.2016;0,394668462;0,566155136;NA;NA;0,503652203
17.12.2016;0,390291911;0,568794765;NA;NA;0,503497829
18.12.2016;0,397481167;0,56912413;NA;0,365918583;0,515420455
19.12.2016;0,405240374;0,570920289;NA;0,379259033;0,53197765
20.12.2016;0,404496472;0,577288158;NA;0,381411003;0,533602024
21.12.2016;0,39484783;0,574358812;NA;0,3610142;0,533420608
22.12.2016;0,387990695;0,569444531;NA;0,34490577;0,533202549
23.12.2016;0,397240248;0,56591285;NA;0,349615589;0,538061002
24.12.2016;0,402247096;0,577179001;NA;0,356410903;0,551670275
25.12.2016;0,39513975;0,575141745;NA;0,353144189;0,554050041
26.12.2016;0,38978308;0,570235789;NA;0,349772168;0,555187485
27.12.2016;0,390712939;0,57234802;NA;0,349990985;0,558034256
28.12.2016;NA;0,568331431;NA;0,343952305;0,54771064
29.12.2016;NA;0,556939431;NA;0,328018629;0,513201314
30.12.2016;NA;0,547963082;NA;NA;0,494545728
31.12.2016;NA;0,539042804;NA;NA;0,524584021
01.01.2017;NA;0,520548155;NA;NA;0,534573812
02.01.2017;NA;0,475323962;NA;NA;0,517240482
03.01.2017;NA;0,465959442;NA;NA;0,509172082
04.01.2017;NA;0,468778706;NA;NA;0,507975146
05.01.2017;NA;0,471529978;NA;NA;0,506023481
06.01.2017;NA;0,475744803;NA;NA;0,504286738
07.01.2017;NA;0,476951472;NA;NA;0,505117703
08.01.2017;NA;0,477182853;NA;NA;0,497864466
09.01.2017;NA;0,478500577;NA;NA;0,479673705
10.01.2017;NA;0,479567478;NA;NA;0,464297251
11.01.2017;NA;0,478585449;NA;NA;0,461154564
12.01.2017;NA;0,544791693;NA;NA;0,527313506
13.01.2017;NA;0,606628378;NA;NA;0,533635036
14.01.2017;NA;0,550647401;NA;NA;0,523026403
15.01.2017;NA;0,542200201;NA;NA;0,515505612
16.01.2017;NA;0,538453092;NA;NA;0,509051442
17.01.2017;NA;0,534846368;NA;NA;0,510237726
18.01.2017;NA;0,531280731;NA;NA;0,51125648
19.01.2017;NA;0,537326877;NA;NA;0,510585248
20.01.2017;NA;0,544403541;NA;NA;0,49972507
21.01.2017;NA;0,536191599;NA;NA;0,482127318
22.01.2017;NA;0,524735459;NA;NA;0,477699897
23.01.2017;NA;0,506588926;NA;NA;0,491325309
24.01.2017;NA;0,47986691;NA;NA;0,495081715
25.01.2017;NA;0,46979614;NA;NA;0,487111394
26.01.2017;NA;0,463218947;NA;NA;0,478780004
27.01.2017;NA;0,448714119;NA;NA;0,472902586
28.01.2017;NA;0,426500957;NA;NA;0,461196163
29.01.2017;NA;0,411992749;NA;NA;0,445031332
30.01.2017;NA;0,398878186;NA;NA;0,42777035
31.01.2017;NA;0,569624094;NA;NA;0,54988159
01.02.2017;NA;0,534400072;NA;NA;0,55068987
02.02.2017;NA;0,46080703;NA;NA;0,510740986
03.02.2017;NA;0,448796886;NA;NA;0,500141937
04.02.2017;NA;0,446343131;NA;NA;0,507569702
05.02.2017;NA;0,445510345;NA;NA;0,506208436
06.02.2017;NA;0,449823786;NA;NA;0,515713487
07.02.2017;NA;0,456376821;NA;0,313769178;0,523306771
08.02.2017;NA;0,455717529;NA;0,309430597;0,52673279
09.02.2017;NA;0,449074841;NA;0,303327921;0,522369673
10.02.2017;NA;0,433321341;NA;0,299906958;0,514491409
11.02.2017;NA;0,429060002;NA;0,307591404;0,505160459
12.02.2017;NA;0,432455738;NA;NA;0,494489232
13.02.2017;NA;0,432151338;NA;NA;0,500205517
14.02.2017;NA;0,43415915;NA;0,310716163;0,506221083
15.02.2017;NA;0,432787273;NA;0,310854907;0,500790812
16.02.2017;NA;0,432023001;NA;0,31149968;0,502417313
17.02.2017;NA;0,494797844;NA;0,33429691;0,550176793
18.02.2017;NA;0,491860718;NA;0,330535009;0,547210364
19.02.2017;NA;0,47828993;NA;0,323033429;0,535962735
20.02.2017;0,306683077;0,487766876;NA;0,319399769;0,529527557
21.02.2017;0,319723887;0,500584137;NA;0,33059057;0,543083804
22.02.2017;0,317428483;0,504101649;NA;0,328183189;0,540737148
23.02.2017;0,338177389;0,500618585;NA;0,319164488;0,52036351
24.02.2017;0,425324163;0,524049043;NA;0,335438854;0,550722224
25.02.2017;0,408974783;0,512987803;0,363643454;0,328132932;0,541652354
26.02.2017;0,398110987;0,507119989;0,392364172;0,323186867;0,531393915
27.02.2017;0,391723615;0,502273874;0,407328539;0,319475759;0,526084096
28.02.2017;0,437075808;0,531804016;0,463265003;0,335336561;0,555398287
01.03.2017;0,431882502;0,520930893;0,449688881;0,331275067;0,562371406
02.03.2017;0,426111004;0,515710804;0,445776027;0,331993675;0,562694872
03.03.2017;0,409976354;0,507577989;0,434943117;0,325809015;0,540119318
04.03.2017;0,406192005;0,50412291;0,432157216;0,338407748;0,538084773
05.03.2017;0,399879128;0,499671174;0,427118378;0,342249987;0,533166564
06.03.2017;0,422852847;0,50954078;0,442837011;0,359602132;0,549128788
07.03.2017;0,455893085;0,541344218;0,457194429;0,369451337;0,565975983
08.03.2017;0,434704221;0,518685039;0,453323355;0,364702125;0,563348881
09.03.2017;0,494890474;0,609212974;0,530176981;0,385440659;0,601340692
10.03.2017;0,455263018;0,549658511;0,466722303;0,373205679;0,57487669
11.03.2017;0,418794709;0,516874546;0,447506249;0,365685194;0,55317686
12.03.2017;0,408045688;0,511776871;0,440855703;0,36180361;0,545562675
13.03.2017;0,403839412;0,505444452;0,431434175;0,355132922;0,533362088
14.03.2017;0,415763989;0,501911232;0,425563476;0,352411416;0,529475448
15.03.2017;0,410215065;0,497893849;0,417690922;0,347659281;0,523354184
16.03.2017;NA;0,493423544;0,380495829;0,343068487;0,515139796
17.03.2017;NA;0,42222252;0,407103297;0,346055771;0,429579934
18.03.2017;NA;0,385207896;0,453422604;0,378597971;0,386593496
19.03.2017;NA;0,44730722;0,496088964;0,417263767;0,419795756
20.03.2017;NA;0,393300665;0,487655953;0,394284878;0,398062807
21.03.2017;NA;0,389091431;0,477088108;0,380719473;0,39197229
22.03.2017;NA;0,396033723;0,49675861;0,405661082;0,408366286
23.03.2017;NA;0,393333265;0,50314421;0,405406976;0,403685221
24.03.2017;NA;0,390917568;0,496176197;0,391823405;0,396337888
25.03.2017;NA;0,387540977;0,487774126;0,386749333;0,393856318
26.03.2017;NA;0,383956447;0,478664225;0,378177592;0,390117984
27.03.2017;NA;0,38114737;0,463169315;0,366684005;0,384725062
28.03.2017;NA;0,378717431;0,442984342;0,349538609;0,378402066
29.03.2017;NA;0,375770056;0,417127271;0,327327496;0,372035447
30.03.2017;NA;0,372259407;0,392113479;0,29490542;0,366515807
31.03.2017;NA;0,367812848;0,367887202;0,251584822;0,360762252
01.04.2017;NA;0,364766232;0,345616449;0,219413763;0,355604194
02.04.2017;NA;0,361414521;0,323604703;0,204258793;0,35076086
03.04.2017;NA;0,35959568;0,3070131;0,200918014;0,345845098
04.04.2017;NA;0,364408037;0,396248455;0,313486609;0,346161001
05.04.2017;NA;0,378704269;0,430874834;0,338938678;0,352763519
06.04.2017;NA;0,376590548;0,409160995;0,320798703;0,354176902
07.04.2017;NA;0,373529405;0,392179257;0,300622748;0,353512993
08.04.2017;NA;0,369543752;0,368022634;0,263766016;0,35019743
09.04.2017;NA;0,365689965;0,343440999;0,223666491;0,345980701
10.04.2017;NA;0,361416276;0,309139937;0,193800135;0,33927637
11.04.2017;NA;0,357962973;0,278227659;0,178941964;0,33320465
12.04.2017;NA;0,354296523;0,259642836;0,174719791;0,328697708
13.04.2017;NA;0,350770876;0,238646168;0,165851039;0,320740165
14.04.2017;NA;0,34842685;0,230956767;0,165003617;0,317253658
15.04.2017;NA;0,34535941;0,222345223;0,164653773;0,313119144
16.04.2017;NA;0,354276474;0,338802197;0,290966084;0,333330078
17.04.2017;NA;0,405587332;0,439687606;0,355100499;0,405080805
18.04.2017;NA;0,419411447;0,459692535;0,367770145;0,42947252
19.04.2017;NA;0,419103832;0,459476457;0,369551401;0,444461951
20.04.2017;NA;0,410373584;0,447798965;0,357010886;0,450122446
21.04.2017;NA;0,402594765;0,426154006;0,34177651;0,43828593
