GW_EB_INdt;SM1;SM2;SM3;SM4;SM5
20.11.2016;0,344617502;0,495192475;0,376495315;0,442967607;0,435127053
21.11.2016;NA;0,46177544;0,360450615;0,42680043;0,426497537
22.11.2016;NA;0,453128463;0,363261879;0,417707961;0,420752949
23.11.2016;NA;0,447226176;0,385349537;0,411761471;0,413398841
24.11.2016;NA;0,447640305;0,394515062;NA;0,408892455
25.11.2016;NA;0,482115739;0,397554265;NA;0,403734345
26.11.2016;NA;0,451669712;0,395697353;NA;0,40028554
27.11.2016;NA;0,484785011;0,403190501;NA;0,402422187
28.11.2016;NA;0,44997472;0,396218693;NA;0,402396334
29.11.2016;NA;0,437171185;NA;NA;0,385737439
30.11.2016;NA;0,424412792;NA;NA;0,363399679
01.12.2016;NA;0,411604336;NA;NA;0,349460622
02.12.2016;NA;0,400111404;NA;NA;NA
03.12.2016;NA;0,388858007;NA;NA;NA
04.12.2016;NA;0,377936316;NA;NA;NA
05.12.2016;NA;NA;NA;NA;NA
06.12.2016;NA;NA;NA;NA;NA
07.12.2016;NA;NA;NA;NA;NA
08.12.2016;NA;NA;NA;NA;NA
09.12.2016;NA;NA;NA;NA;NA
10.12.2016;NA;NA;NA;NA;NA
11.12.2016;NA;NA;NA;NA;NA
12.12.2016;NA;NA;NA;NA;NA
13.12.2016;NA;NA;NA;NA;NA
14.12.2016;NA;NA;NA;NA;NA
15.12.2016;NA;NA;NA;NA;NA
16.12.2016;NA;NA;NA;NA;NA
17.12.2016;NA;NA;NA;NA;NA
18.12.2016;NA;NA;NA;NA;NA
19.12.2016;NA;NA;NA;NA;NA
20.12.2016;NA;NA;NA;NA;NA
21.12.2016;NA;NA;NA;NA;NA
22.12.2016;NA;NA;NA;NA;NA
23.12.2016;NA;NA;NA;NA;NA
24.12.2016;NA;NA;NA;NA;NA
25.12.2016;NA;NA;NA;NA;NA
26.12.2016;NA;NA;NA;NA;NA
27.12.2016;NA;NA;NA;NA;NA
28.12.2016;NA;NA;NA;NA;NA
29.12.2016;NA;NA;NA;NA;NA
30.12.2016;NA;NA;NA;NA;NA
31.12.2016;NA;NA;NA;NA;NA
01.01.2017;NA;NA;NA;NA;NA
02.01.2017;NA;NA;NA;NA;NA
03.01.2017;NA;NA;NA;NA;NA
04.01.2017;NA;NA;NA;NA;NA
05.01.2017;NA;NA;NA;NA;NA
06.01.2017;NA;NA;NA;NA;NA
07.01.2017;NA;NA;NA;NA;NA
08.01.2017;NA;NA;NA;NA;NA
09.01.2017;NA;NA;NA;NA;NA
10.01.2017;NA;NA;NA;NA;NA
11.01.2017;NA;NA;NA;NA;NA
12.01.2017;NA;NA;NA;NA;NA
13.01.2017;NA;NA;NA;NA;NA
14.01.2017;NA;NA;NA;NA;NA
15.01.2017;NA;NA;NA;NA;NA
16.01.2017;NA;NA;NA;NA;NA
17.01.2017;NA;NA;NA;NA;NA
18.01.2017;NA;NA;NA;NA;NA
19.01.2017;NA;NA;NA;NA;NA
20.01.2017;NA;NA;NA;NA;NA
21.01.2017;NA;NA;NA;NA;NA
22.01.2017;NA;NA;NA;NA;NA
23.01.2017;NA;NA;NA;NA;NA
24.01.2017;NA;NA;NA;NA;NA
25.01.2017;NA;NA;NA;NA;NA
26.01.2017;NA;NA;NA;NA;NA
27.01.2017;NA;NA;NA;NA;NA
28.01.2017;NA;NA;NA;NA;NA
29.01.2017;NA;NA;NA;NA;NA
30.01.2017;NA;NA;NA;NA;NA
31.01.2017;NA;NA;NA;NA;NA
01.02.2017;NA;NA;NA;NA;NA
02.02.2017;NA;NA;NA;NA;NA
03.02.2017;NA;NA;NA;NA;NA
04.02.2017;NA;NA;NA;NA;NA
05.02.2017;NA;NA;NA;NA;NA
06.02.2017;NA;NA;NA;NA;NA
07.02.2017;NA;NA;NA;NA;NA
08.02.2017;NA;NA;NA;NA;NA
09.02.2017;NA;NA;NA;NA;NA
10.02.2017;NA;NA;NA;NA;NA
11.02.2017;NA;NA;NA;NA;NA
12.02.2017;NA;NA;NA;NA;NA
13.02.2017;NA;NA;NA;NA;NA
14.02.2017;NA;NA;NA;NA;NA
15.02.2017;NA;NA;NA;NA;NA
16.02.2017;NA;NA;NA;NA;NA
17.02.2017;NA;NA;NA;NA;NA
18.02.2017;NA;NA;NA;NA;NA
19.02.2017;NA;NA;NA;NA;NA
20.02.2017;NA;NA;NA;NA;NA
21.02.2017;NA;NA;NA;NA;NA
22.02.2017;NA;NA;NA;NA;NA
23.02.2017;NA;NA;NA;NA;NA
24.02.2017;NA;NA;NA;NA;NA
25.02.2017;NA;NA;NA;NA;NA
26.02.2017;NA;NA;NA;NA;NA
27.02.2017;0,298663923;NA;NA;NA;NA
28.02.2017;0,311298613;NA;NA;NA;NA
01.03.2017;0,336444375;NA;0,303345549;0,271166859;NA
02.03.2017;0,35372232;NA;0,340906905;0,30515595;NA
03.03.2017;0,278801082;NA;0,312021848;0,294696523;NA
04.03.2017;0,273050518;0,215435598;0,324841581;0,366989778;NA
05.03.2017;0,288139355;0,270548708;0,337487472;0,382780134;NA
06.03.2017;0,292420037;0,301186259;0,345080158;0,372662129;NA
07.03.2017;0,290772053;0,312248965;0,345049192;0,359625585;NA
08.03.2017;0,289828255;0,316600738;0,3428734;0,359382671;NA
09.03.2017;0,297482389;0,376743527;0,353913301;0,368852295;NA
10.03.2017;0,291688339;0,327826315;0,342123844;0,366113057;NA
11.03.2017;0,2789546;0,28672208;0,319515142;0,310299502;NA
12.03.2017;0,27701698;0,286145617;0,31544012;0,291593755;NA
13.03.2017;0,271480438;0,273910225;0,30990336;0,278151535;NA
14.03.2017;0,264627366;0,25821655;0,301959264;0,277182372;NA
15.03.2017;0,260209172;0,249760819;0,296691081;0,278017643;NA
16.03.2017;0,255821367;0,246740368;0,294943073;0,276584637;NA
17.03.2017;0,252496816;0,255069517;0,293966733;0,272683583;NA
18.03.2017;0,254782221;0,280168353;0,298691399;0,283339112;NA
19.03.2017;0,258028812;0,281600866;0,305507287;0,297058269;0,229689359
20.03.2017;0,248838414;0,256218141;0,295255526;0,287405065;0,230981773
21.03.2017;0,244407397;0,255748793;0,292050708;0,284487445;0,231277196
22.03.2017;0,254029139;0,28333132;0,299835663;0,294601449;0,23850124
23.03.2017;0,233407883;0,236623231;0,292718862;0,285090996;0,235610679
24.03.2017;0,209479606;0,202028755;0,284946523;0,27476439;0,243386659
25.03.2017;0,210043139;0,201462699;0,283301559;0,271447339;0,251990864
26.03.2017;0,205002744;0,198700371;0,276728312;0,265307356;0,252104094
27.03.2017;0,205462982;0,194966961;0,273852614;0,26167237;0,254643157
28.03.2017;0,204389978;0,19347693;0,26666531;0,258355969;0,251656232
29.03.2017;0,201293056;0,191285559;0,259198379;0,256469405;0,249290755
30.03.2017;0,1995384;0,19074364;0,251420218;0,251459819;0,246124993
31.03.2017;0,189950117;0,188272827;0,239845341;0,243707988;0,241877157
01.04.2017;0,175010929;0,184034035;0,227303093;0,235013499;0,237371396
02.04.2017;0,164456834;0,180938243;0,213482813;0,226120595;0,236444622
03.04.2017;0,18084197;0,190547419;0,242101486;0,251997144;0,249502248
04.04.2017;0,226303273;0,225641606;0,293601024;0,299779409;0,280325619
05.04.2017;0,221464253;0,220759438;0,288515685;0,293676691;0,278775776
06.04.2017;0,227861329;0,233741102;0,292372943;0,301652943;0,286097323
07.04.2017;0,223739587;0,220157579;0,292810004;0,295450908;0,284490228
08.04.2017;0,220298403;0,215660373;0,28619233;0,284892521;0,278757049
09.04.2017;0,211636597;0,210862204;0,283462512;0,272030623;0,271891053
10.04.2017;0,197826942;0,204216972;0,270229526;0,256885328;0,264295218
11.04.2017;0,203936896;0,211535808;0,29085953;0,279013343;0,270392833
12.04.2017;0,201864216;0,208047915;0,278969001;0,26478414;0,266907181
13.04.2017;0,189085219;0,202583914;0,268083651;0,24886397;0,259668443
14.04.2017;0,184042362;0,199906549;0,258311868;0,240055897;0,255218727
15.04.2017;0,187449163;0,203898634;0,263820495;0,244985678;0,255714057
16.04.2017;0,263290759;0,274460327;0,332028109;0,333301318;0,312026355
17.04.2017;0,265905514;0,27490818;0,336008514;0,329341528;0,312495711
18.04.2017;0,265374142;0,269113345;0,333287646;0,321700188;0,308500376
19.04.2017;0,264229793;0,263192425;0,330292325;0,320140357;0,3059183
20.04.2017;0,263196043;0,256004045;0,328994299;0,319436025;0,306097802
21.04.2017;0,26197737;0,24845739;0,329367981;0,319912553;0,306848608
22.04.2017;0,268533754;0,259722089;0,328586358;0,326254906;0,311583777
23.04.2017;0,272163808;0,262219693;0,327015524;0,329783677;0,309701041
24.04.2017;0,258973648;0,242428619;0,32410623;0,31372051;0,298674668
25.04.2017;0,264696316;0,251891178;0,329917025;0,317571465;0,297960213
26.04.2017;0,289763951;0,280523951;0,339972446;0,336749069;0,309972665
27.04.2017;0,292027034;0,280590256;0,346730375;0,347032014;0,314617962
28.04.2017;0,28759861;0,278140969;0,346396039;0,339349862;0,310880279
29.04.2017;0,286915845;0,263070883;0,34444842;0,337923203;0,311458802
30.04.2017;0,27649953;0,248485943;0,337493912;0,324752407;0,302004135
01.05.2017;0,289279907;0,270560006;0,346121399;0,337636454;0,308372083
02.05.2017;0,303969771;0,286722844;0,351812225;0,349788444;0,315072569
03.05.2017;0,299645507;0,28373482;0,346424944;0,342580144;0,309770245
04.05.2017;0,307199533;0,295921661;0,35092041;0,345653187;0,306300911
05.05.2017;0,307144489;0,288602008;0,349892222;0,345102837;0,302495311
06.05.2017;0,296073592;0,277406594;0,342293209;0,33396636;0,293716863
07.05.2017;0,318390946;0,300380359;0,353005535;0,351918426;0,304462548
08.05.2017;0,330546194;0,313148367;0,360515996;0,365238923;0,311666832
09.05.2017;0,317838887;0,296473478;0,352724385;0,352322952;0,305947135
10.05.2017;0,303899429;0,277814276;0,341706235;0,337869885;0,295561285
11.05.2017;0,27627465;0,26386708;0,326143985;0,308532721;0,285440699
12.05.2017;0,267796163;0,268570123;0,328806997;0,320481712;0,28470008
13.05.2017;0,29027879;0,282080898;0,341138184;0,344100866;0,294763213
14.05.2017;0,334263839;0,314378037;0,365495531;0,383031797;0,319258681
15.05.2017;0,326513627;0,307728938;0,359372851;0,373851106;0,317871995
16.05.2017;0,302645444;0,288621118;0,344387728;0,349343036;0,306665901
17.05.2017;0,257581851;0,269782019;0,319209755;0,313408011;0,294318236
18.05.2017;0,207594429;0,252919825;0,282099261;0,277186109;0,281720517
19.05.2017;0,190004883;0,244522188;0,262039079;0,276669982;0,276849199
20.05.2017;0,214480114;0,239497524;0,289975105;0,311918572;0,284285609
21.05.2017;0,202519377;0,234934404;0,280650964;0,303543375;0,282541564
22.05.2017;0,168602835;0,219091471;0,240147222;0,267810519;0,275206438
23.05.2017;0,139496852;0,202114616;0,202438182;0,230171067;0,264966818
24.05.2017;0,145311268;0,196866042;0,209574255;0,231518137;0,25831146
25.05.2017;0,207003443;0,196704488;0,284449524;0,305274189;0,27958826
26.05.2017;0,177169152;0,19347807;0,244791473;0,271960881;0,2706358
27.05.2017;0,145457944;0,190010715;0,205832082;0,23749819;0,250561152
28.05.2017;0,12055418;0,183859933;0,177163339;0,20896935;0,246225135
