FE_GW_INdt;SM1;SM2;SM3;SM4;SM5
24.10.2016;0,415918212;0,501127763;0,411295036;0,499657741;0,486516098
25.10.2016;0,43296895;0,527400035;0,439290187;0,526998909;0,487967845
26.10.2016;0,436135162;0,55990346;0,445008765;0,540498452;0,505135401
27.10.2016;0,415900887;0,507867336;0,425486019;0,536484134;0,502870323
28.10.2016;0,410684275;0,49678223;0,417158853;0,527410947;0,500436299
29.10.2016;0,40556638;0,491632462;0,412444643;0,524603623;0,49870892
30.10.2016;0,402685161;0,487959666;0,408670237;0,513343441;0,4942683
31.10.2016;0,396512786;0,486457564;0,40500581;0,504981785;0,490871004
01.11.2016;0,390429881;0,489460539;0,401433584;0,522180899;0,485365578
02.11.2016;0,413296146;0,514250852;0,426137394;0,534413782;0,479273928
03.11.2016;0,431962477;0,540895509;0,437677349;0,549714548;0,507486475
04.11.2016;0,415749447;0,509427794;0,423203148;0,543471954;0,504844856
05.11.2016;0,419076154;0,506099277;0,421797993;0,529662966;0,495058936
06.11.2016;0,476654152;0,590016899;0,489767096;0,551161814;0,479433291
07.11.2016;0,45823134;0,569171745;0,447589884;0,559560887;0,49399366
08.11.2016;0,436057659;0,521686979;0,434228414;0,559813328;0,511938893
09.11.2016;0,43007857;0,510158936;0,431817615;0,556509;0,508044665
10.11.2016;0,440883207;0,520720884;0,441427315;0,562039495;0,507118951
11.11.2016;0,475340051;0,586831167;0,469835022;0,560819147;0,489710624
12.11.2016;0,473798107;0,556277913;0,444229035;0,564119838;0,502729766
13.11.2016;0,468946823;0,511238257;0,434127082;0,563404288;0,516142998
14.11.2016;0,46706468;0,508950233;0,429048249;0,559488729;0,511649185
15.11.2016;0,462267413;0,507249936;0,423654049;0,562396649;0,50824099
16.11.2016;0,495902712;0,539628297;0,46185512;0,567557554;0,492238892
17.11.2016;0,504150036;0,558609212;0,44937262;0,571130057;0,501564914
18.11.2016;0,480004737;0,525820912;0,436194974;0,568656325;0,50554306
19.11.2016;0,498352419;0,558431494;0,45207894;0,570298113;0,497714355
20.11.2016;0,483751912;0,53707016;0,435573889;0,570213787;0,510813718
21.11.2016;0,472710576;0,521960615;0,429739584;0,568803666;0,507336116
22.11.2016;0,467546486;0,516952062;0,423896809;0,567160765;0,503390417
23.11.2016;0,465682991;0,51239256;0,419548553;0,563185463;0,500144543
24.11.2016;0,464680867;0,510793058;0,420545405;0,561000196;0,492414521
25.11.2016;0,46244019;0,508920551;0,420888774;0,564222705;0,496817028
26.11.2016;0,461299789;0,507726138;0,420149489;0,562504103;0,494270326
27.11.2016;NA;0,525444039;0,444037238;0,565870754;0,481891485
28.11.2016;NA;0,524540545;0,437273;0,566762641;0,501434076
29.11.2016;NA;0,511296655;0,423369533;0,558606401;0,51407527
30.11.2016;NA;0,503095733;0,413505841;0,529346091;0,50587715
01.12.2016;NA;0,500253858;0,429247862;0,552885413;0,498605913
02.12.2016;NA;0,5016846;NA;0,559954855;0,504031903
03.12.2016;NA;0,50938939;NA;0,569043655;0,496104591
04.12.2016;NA;0,512011576;NA;0,565587108;0,486682018
05.12.2016;NA;0,507954742;NA;0,55873156;0,484799807
06.12.2016;NA;0,501115751;NA;0,539364995;0,482397613
07.12.2016;NA;0,497995926;NA;NA;0,478374135
08.12.2016;NA;0,495300537;NA;NA;0,475675597
09.12.2016;NA;0,492113775;NA;NA;0,470471099
10.12.2016;NA;0,488784255;NA;NA;0,465781156
11.12.2016;NA;0,483726665;NA;NA;0,462570434
12.12.2016;NA;0,485161891;NA;NA;0,460380081
13.12.2016;NA;0,494607207;NA;NA;0,480017158
14.12.2016;NA;0,497162268;NA;NA;0,483676559
15.12.2016;NA;0,497600335;NA;NA;0,491542697
16.12.2016;NA;0,49896806;NA;NA;0,501600608
17.12.2016;NA;0,500319302;NA;NA;0,509811627
18.12.2016;NA;0,501711497;NA;NA;0,507905575
19.12.2016;NA;0,505476009;NA;NA;0,511704836
20.12.2016;NA;0,506848203;NA;NA;0,521382229
