GW_GW_EXdt;SM1;SM2;SM3;SM4;SM5
02.04.2017;0,240188632;0,29680629;0,224669902;0,265390941;0,302151755
03.04.2017;0,27162843;0,300133658;0,254693595;0,30296857;0,300726273
04.04.2017;0,344622771;0,346724177;0,307907006;0,37229755;0,323340244
05.04.2017;0,342490509;0,344352876;0,302926244;0,363007793;0,327532107
06.04.2017;0,343007193;0,353594086;0,311683153;0,368170088;0,324182879
07.04.2017;0,343915182;0,349870498;0,309892921;0,361172861;0,329722939
08.04.2017;0,344164176;0,3433892;0,305268874;0,348874942;0,326022549
09.04.2017;0,340969127;0,335650048;0,292130866;0,331851357;0,3213758
10.04.2017;0,324220643;0,326263872;0,281491325;0,310589828;0,31597756
11.04.2017;0,323258612;0,324887778;0,313553833;0,341279184;0,308534631
12.04.2017;0,324612711;0,318807597;0,297142375;0,322793788;0,316119406
13.04.2017;0,303219549;0,311261734;0,275217799;0,300847052;0,310839633
14.04.2017;0,287164898;0,3060322;0,263764512;0,291018608;0,307358206
15.04.2017;0,285875668;0,301382797;0,272789384;0,300534795;0,29951532
16.04.2017;0,35626664;0,386418109;0,336074668;0,398831117;0,345488267
17.04.2017;0,352102492;0,392438718;0,335392763;0,39240042;0,345945956
18.04.2017;0,347328594;0,387440255;0,330767927;0,386727067;0,337071623
19.04.2017;0,345844945;0,380508113;0,327772482;0,382800701;0,3350112
20.04.2017;0,344689722;0,375899663;0,326458129;0,381334698;0,334339618
21.04.2017;0,344233997;0,372871659;0,326409288;0,379354383;0,335019964
22.04.2017;0,346368884;0,377582627;0,328657914;0,391806903;0,34119582
23.04.2017;0,349362336;0,383944299;0,331254687;0,387838813;0,340159166
24.04.2017;0,346017822;0,367536968;0,324609594;0,368262119;0,33540729
25.04.2017;0,34647425;0,365812686;0,326193656;0,367414577;0,331499677
26.04.2017;0,351392206;0,390380747;0,334786221;0,388304904;0,339502551
27.04.2017;0,35032847;0,390572354;0,334662378;0,391428544;0,339299437
28.04.2017;0,345917914;0,384888449;0,330228942;0,385739342;0,336258897
29.04.2017;0,344253347;0,374689349;0,329713338;0,384175198;0,336248091
30.04.2017;0,344171557;0,364383976;0,325594379;0,367534785;0,33361278
01.05.2017;0,348575838;0,374267702;0,330067857;0,379471565;0,338030792
02.05.2017;0,352403606;0,387827034;0,337143238;0,392212516;0,345185466
03.05.2017;0,349587634;0,380168156;0,335295456;0,383873812;0,337457609
04.05.2017;0,352032587;0,389387532;0,337936636;0,390762287;0,338161755
05.05.2017;0,352806596;0,387575219;0,33734147;0,389655282;0,34193733
06.05.2017;0,348353466;0,371443421;0,331409751;0,3709944;0,334282188
07.05.2017;0,356651726;0,390473471;0,34161893;0,393992436;0,342124651
08.05.2017;0,363759936;0,40353919;0,347465595;0,406102624;0,349781202
09.05.2017;0,35518353;0,393060878;0,340523702;0,39117362;0,344585678
10.05.2017;0,349489165;0,374455601;0,331808596;0,36770814;0,335869945
11.05.2017;0,341828942;0,360266582;0,309870488;0,339702668;0,329128303
12.05.2017;0,336888614;0,356222903;0,328489713;0,35313973;0,326372603
13.05.2017;0,356825442;0,363465227;0,338698871;0,379728864;0,336852961
14.05.2017;0,38320301;0,413260475;0,354984737;0,427510473;0,359109867
15.05.2017;0,372073983;0,407440458;0,349446989;0,416142223;0,353123513
16.05.2017;0,356736874;0,384913039;0,335978862;0,387730963;0,343132101
17.05.2017;0,332188838;0,35988148;0,302461112;0,348146444;0,334356033
18.05.2017;0,273402341;0,33193512;0,261589792;0,316010944;0,327305106
19.05.2017;0,264204619;0,30528979;0,268227707;0,31007637;0,322010749
20.05.2017;0,342191489;0,290455801;0,313547378;0,346328599;0,323264029
21.05.2017;0,339390114;0,278374342;0,306031477;0,342114384;0,322498341
22.05.2017;0,28587202;0,254452625;0,256664653;0,309432935;0,319243247
23.05.2017;0,223917947;0,23393862;0,219944567;0,263721692;0,313609827
24.05.2017;0,23062746;0,224257494;0,232776677;0,249845317;0,305737101
25.05.2017;0,344010465;0,22021946;0,303240646;0,334895598;0,309133601
26.05.2017;0,2869486;0,214682164;0,245681574;0,270541758;0,308440506
27.05.2017;0,210739733;0,207666864;0,205566088;0,215756599;0,298087475
28.05.2017;0,178277787;0,202986527;0,188306784;0,18607781;0,280651736
29.05.2017;0,161994809;0,19399497;0,178501952;0,170229522;0,25659018
30.05.2017;0,177013707;0,189055284;0,186879251;0,166036052;0,234329961
31.05.2017;0,348089864;0,315555904;0,313580443;0,321434613;0,308468775
01.06.2017;0,35163639;0,353159277;0,328751437;0,354358187;0,339012886
02.06.2017;0,355048529;0,374761236;0,341678461;0,374206707;0,347215895
03.06.2017;0,352953898;0,364476307;0,334886247;0,365912891;0,342702688
04.06.2017;0,355669633;0,388953346;0,345982031;0,392671361;0,352655968
05.06.2017;0,354758629;0,379630491;0,342552503;0,383398042;0,346671003
06.06.2017;0,356662068;0,396036838;0,348081003;0,396106106;0,356646431
07.06.2017;0,34794511;0,37246581;0,336717838;0,375246076;0,345233622
08.06.2017;0,34425939;0,354636513;0,322660445;0,357097726;0,336739474
09.06.2017;0,342170508;0,352832786;0,312445185;0,347739733;0,333906419
10.06.2017;0,348726409;0,357484252;0,33121708;0,37277906;0,340996569
11.06.2017;0,345266186;0,354890796;0,315265171;0,352196766;0,339209132
12.06.2017;0,330345478;0,350680262;0,299201146;0,334193834;0,335729476
13.06.2017;0,29476269;0,342805152;0,279043679;0,310516184;0,332557263
14.06.2017;0,251253528;0,330114915;0,24876815;0,27502064;0,326711387
15.06.2017;0,222523646;0,309943683;0,230686399;0,249874944;0,316044993
16.06.2017;0,330406437;0,351227761;0,308731361;0,363649244;0,332877483
17.06.2017;0,346612868;0,361348442;0,308204653;0,352816445;0,342522381
18.06.2017;0,317676879;0,347851939;0,271676386;0,315907025;0,334550375
19.06.2017;0,260749261;0,325172487;0,234739641;0,266922052;0,32235822
20.06.2017;0,22015872;0,296755102;0,21214624;0,225718001;0,31131353
21.06.2017;0,194615396;0,269786708;0,196013933;0,198206939;0,295258034
22.06.2017;0,178117843;0,250899087;0,185284666;0,183184312;0,275893358
