EB_EB_EXdt;SM1;SM2;SM3;SM4;SM5
25.10.2016;0,503262896;0,497383387;0,456701747;0,619744186;0,574018848
26.10.2016;0,528591824;0,494011477;0,459730304;0,628471075;0,593445496
27.10.2016;0,483101904;0,498879723;0,448052881;0,605673164;0,564001541
28.10.2016;0,459582405;0,491751335;0,439607108;0,594609147;0,555755366
29.10.2016;0,434884119;0,470667341;0,371114831;0,589468585;0,549342254
30.10.2016;0,432014746;0,466277469;0,356376023;0,581913309;0,543407358
31.10.2016;0,410601138;0,465808443;0,35486191;0,575065356;0,539197241
01.11.2016;0,397733866;0,46121754;0,355371974;0,57108548;0,536033953
02.11.2016;0,405005055;0,464990445;0,357552542;0,575079119;0,536235729
03.11.2016;0,435446942;0,488897852;0,367045337;0,592115276;0,546151866
04.11.2016;0,427293158;0,477560758;0,368814393;0,579868558;0,538207435
05.11.2016;0,422373587;0,472826535;0,368963631;0,584199167;0,537394127
06.11.2016;0,498197107;0,514057388;0,396116186;0,638781556;0,58288372
07.11.2016;0,475179582;0,508076204;0,383780209;0,614241077;0,577690114
08.11.2016;0,463848773;0,500006057;0,380078362;0,606421279;0,556611908
09.11.2016;0,455403588;0,491350231;0,377648798;0,600233458;0,551618414
10.11.2016;0,457954887;0,491400845;0,378671936;0,600902999;0,552870701
11.11.2016;0,460637021;0,48107928;0,379669822;0,603830541;0,55509802
12.11.2016;0,464204293;0,47747638;0,380139395;0,604917831;0,555447715
13.11.2016;0,460317146;0,470537491;0,378488319;0,602798516;0,55390677
14.11.2016;0,461541657;0,468935977;0,377743961;0,599878547;0,552018818
15.11.2016;0,476363101;0,472684037;0,378233129;0,59661894;0,551327599
16.11.2016;0,521232783;0,480507896;0,381614966;0,60181566;0,558708666
17.11.2016;0,526370108;0,482773915;0,382126385;0,605375601;0,559479632
18.11.2016;0,49415707;0,468540428;0,381282166;0,602644989;0,554470205
19.11.2016;0,543955193;0,47628021;0,385704517;0,613174481;0,560999176
20.11.2016;0,536046327;0,47412455;0,379931491;0,608164771;0,557144988
21.11.2016;0,504962631;0,459774269;0,380209421;0,604179748;0,550853992
22.11.2016;0,487895114;0,454473281;0,376712778;0,598783531;0,54996964
23.11.2016;0,485544635;0,452552532;0,376242459;0,596225356;0,547204818
24.11.2016;0,478906621;0,449275942;0,374381137;0,590498844;0,544151808
25.11.2016;0,474785332;0,445903256;0,372855641;0,586153082;0,540335852
26.11.2016;0,477825111;0,448096896;0,373009189;0,582712795;0,538788449
