GW_EB_EXdt;SM1;SM2;SM3;SM4;SM5
20.11.2016;0,394048192;0,623411865;0,447184346;0,381907666;0,530571022
21.11.2016;0,382473615;0,629827429;NA;0,366765729;0,520031518
22.11.2016;0,378069518;0,629606502;NA;0,358456732;0,511941602
23.11.2016;0,376177319;0,627128248;NA;0,35418086;0,509621104
24.11.2016;0,373887447;0,622982343;NA;0,352263948;0,506466951
25.11.2016;0,372180749;0,605324268;NA;NA;0,518452999
26.11.2016;NA;0,616194388;NA;NA;0,50987487
27.11.2016;NA;0,604136325;NA;NA;0,523773079
28.11.2016;NA;0,617455146;NA;NA;0,513709764
29.11.2016;NA;0,603098159;NA;NA;0,488718004
30.11.2016;NA;0,586395313;NA;NA;0,456518218
01.12.2016;NA;0,574962298;NA;NA;0,440882124
02.12.2016;NA;NA;NA;NA;0,429890691
03.12.2016;NA;NA;NA;NA;0,413598917
04.12.2016;NA;NA;NA;NA;NA
05.12.2016;NA;NA;NA;NA;NA
06.12.2016;NA;NA;NA;NA;NA
07.12.2016;NA;NA;NA;NA;NA
08.12.2016;NA;NA;NA;NA;NA
09.12.2016;NA;NA;NA;NA;NA
10.12.2016;NA;NA;NA;NA;NA
11.12.2016;NA;NA;NA;NA;NA
12.12.2016;NA;NA;NA;NA;NA
13.12.2016;NA;NA;NA;NA;NA
14.12.2016;NA;NA;NA;NA;NA
15.12.2016;NA;NA;NA;NA;NA
16.12.2016;NA;NA;NA;NA;NA
17.12.2016;NA;NA;NA;NA;NA
18.12.2016;NA;NA;NA;NA;NA
19.12.2016;NA;NA;NA;NA;NA
20.12.2016;NA;NA;NA;NA;NA
21.12.2016;NA;NA;NA;NA;NA
22.12.2016;NA;NA;NA;NA;NA
23.12.2016;NA;NA;NA;NA;NA
24.12.2016;NA;NA;NA;NA;NA
25.12.2016;NA;NA;NA;NA;NA
26.12.2016;NA;NA;NA;NA;NA
27.12.2016;NA;NA;NA;NA;NA
28.12.2016;NA;NA;NA;NA;NA
29.12.2016;NA;NA;NA;NA;NA
30.12.2016;NA;NA;NA;NA;NA
31.12.2016;NA;NA;NA;NA;NA
01.01.2017;NA;NA;NA;NA;NA
02.01.2017;NA;NA;NA;NA;NA
03.01.2017;NA;NA;NA;NA;NA
04.01.2017;NA;NA;NA;NA;NA
05.01.2017;NA;NA;NA;NA;NA
06.01.2017;NA;NA;NA;NA;NA
07.01.2017;NA;NA;NA;NA;NA
08.01.2017;NA;NA;NA;NA;NA
09.01.2017;NA;NA;NA;NA;NA
10.01.2017;NA;NA;NA;NA;NA
11.01.2017;NA;NA;NA;NA;NA
12.01.2017;NA;NA;NA;NA;NA
13.01.2017;NA;NA;NA;NA;NA
14.01.2017;NA;NA;NA;NA;NA
15.01.2017;NA;NA;NA;NA;NA
16.01.2017;NA;NA;NA;NA;NA
17.01.2017;NA;NA;NA;NA;NA
18.01.2017;NA;NA;NA;NA;NA
19.01.2017;NA;NA;NA;NA;NA
20.01.2017;NA;NA;NA;NA;NA
21.01.2017;NA;NA;NA;NA;NA
22.01.2017;NA;NA;NA;NA;NA
23.01.2017;NA;NA;NA;NA;NA
24.01.2017;NA;NA;NA;NA;NA
25.01.2017;NA;NA;NA;NA;NA
26.01.2017;NA;NA;NA;NA;NA
27.01.2017;NA;NA;NA;NA;NA
28.01.2017;NA;NA;NA;NA;NA
29.01.2017;NA;NA;NA;NA;NA
30.01.2017;NA;NA;NA;NA;NA
31.01.2017;NA;NA;NA;NA;NA
01.02.2017;NA;NA;NA;NA;NA
02.02.2017;NA;NA;NA;NA;NA
03.02.2017;NA;NA;NA;NA;NA
04.02.2017;NA;NA;NA;NA;NA
05.02.2017;NA;NA;NA;NA;NA
06.02.2017;NA;NA;NA;NA;NA
07.02.2017;NA;NA;NA;NA;NA
08.02.2017;NA;NA;NA;NA;NA
09.02.2017;NA;NA;NA;NA;NA
10.02.2017;NA;NA;NA;NA;NA
11.02.2017;NA;NA;NA;NA;NA
12.02.2017;NA;NA;NA;NA;NA
13.02.2017;NA;NA;NA;NA;NA
14.02.2017;NA;NA;NA;NA;NA
15.02.2017;NA;NA;NA;NA;NA
16.02.2017;NA;NA;NA;NA;NA
17.02.2017;NA;NA;NA;NA;NA
18.02.2017;NA;NA;NA;NA;NA
19.02.2017;NA;NA;NA;NA;NA
20.02.2017;NA;NA;NA;NA;NA
21.02.2017;NA;NA;NA;NA;NA
22.02.2017;NA;NA;NA;NA;NA
23.02.2017;NA;NA;NA;NA;NA
24.02.2017;NA;NA;NA;0,265552013;NA
25.02.2017;NA;NA;NA;0,27105963;NA
26.02.2017;NA;NA;NA;0,24979888;NA
27.02.2017;NA;NA;NA;0,237068507;NA
28.02.2017;NA;NA;NA;0,27135573;NA
01.03.2017;NA;NA;NA;0,288883769;NA
02.03.2017;NA;NA;NA;0,338464815;NA
03.03.2017;NA;NA;0,303476687;0,373307423;NA
04.03.2017;NA;NA;0,330122394;0,452963815;NA
05.03.2017;NA;NA;0,348389976;0,423395471;NA
06.03.2017;NA;NA;0,349387399;0,409831156;NA
07.03.2017;NA;NA;0,344188835;0,396173474;0,297800262
08.03.2017;NA;NA;0,340959392;0,392141313;0,303571726
09.03.2017;0,342200209;NA;0,358933806;0,412854431;0,325443711
10.03.2017;0,322484916;NA;0,350682189;0,379337743;0,317919064
11.03.2017;0,283280223;NA;0,32890156;0,305708575;0,315414943
12.03.2017;0,280646816;NA;0,322093015;0,281245975;0,309649319
13.03.2017;0,264149694;NA;0,311292977;0,26882398;0,302783077
14.03.2017;0,265430674;NA;0,305166334;0,263658845;0,302190539
15.03.2017;0,262667548;NA;0,297324973;0,252299537;0,299185109
16.03.2017;0,256319948;NA;0,290533776;0,24118132;0,295524784
17.03.2017;0,25153317;NA;0,287870368;0,2408421;0,298460577
18.03.2017;0,258169725;NA;0,29384604;0,259738564;0,318583256
19.03.2017;0,269771261;NA;0,300805102;0,277549898;0,336950904
20.03.2017;0,268029255;0,328959583;0,29270846;0,264142107;0,323273518
21.03.2017;0,267069963;0,329338547;0,289814181;0,25870224;0,31979917
22.03.2017;0,2820558;0,341623788;0,296289721;0,272226651;0,333578119
23.03.2017;0,279477637;0,342226025;0,293944873;0,26761338;0,328209546
24.03.2017;0,278903022;0,341158322;0,291063138;0,261990337;0,324541791
25.03.2017;0,27491841;0,339005028;0,288773378;0,256875374;0,321081414
26.03.2017;0,269590525;0,336038618;0,284383189;0,251016357;0,318103618
27.03.2017;0,262651708;0,332425844;0,281210951;0,243088793;0,313391722
28.03.2017;0,253552853;0,329465469;0,277085511;0,228912324;0,310083166
29.03.2017;0,247997449;0,329080804;0,272433328;0,217832409;0,306681545
30.03.2017;0,238624501;0,324755865;0,267258291;0,210944545;0,30185254
31.03.2017;0,220560776;0,317484314;0,258711636;0,202371029;0,294702721
01.04.2017;0,20387176;0,308433659;0,246815062;0,193863705;0,287919366
02.04.2017;0,193290171;0,301475669;0,236771498;0,185620617;0,281608655
03.04.2017;0,227253861;0,306703325;0,25465553;0,213145474;0,2961687
04.04.2017;0,295817693;0,365646061;0,296335444;0,26021047;0,335102072
05.04.2017;0,290623222;0,365419732;0,293673738;0,252630262;0,331778499
06.04.2017;0,300025247;0,378342825;0,300161946;0,261405195;0,343554426
07.04.2017;0,291788032;0,374111453;0,296945637;0,253707634;0,33791259
08.04.2017;0,282640808;0,363176004;0,288860788;0,241086798;0,331962095
09.04.2017;0,272957694;0,349070794;0,279617548;0,225815806;0,323858299
10.04.2017;0,244699316;0,335655615;0,267054376;0,211465558;0,315256505
11.04.2017;0,281289583;0,339450112;0,286230358;0,23544588;0,324887946
12.04.2017;0,253887861;0,337761687;0,279430219;0,220252863;0,318357747
13.04.2017;0,226394883;0,327311798;0,267617076;0,205108828;0,310955383
14.04.2017;0,212916719;0,32064843;0,260853548;0,199120766;0,307360087
15.04.2017;0,2364945;0,320227645;0,265284797;0,203199034;0,309382544
16.04.2017;0,340012617;0,42403183;0,32543741;0,285118895;0,387982029
17.04.2017;0,33330631;0,41808982;0,32500016;0,281774997;0,392296187
18.04.2017;0,329814855;0,406685257;0,320516602;0,272499921;0,383880271
19.04.2017;0,330136994;0,397937131;0,317892223;0,268523842;0,378593016
20.04.2017;0,328455501;0,394178559;0,317244057;0,268042901;0,377730704
21.04.2017;0,327508603;0,397951192;0,317213786;0,26841847;0,378512517
22.04.2017;0,336989366;0,409676314;0,322151836;0,274366447;0,384996813
23.04.2017;0,33461984;0,412197192;0,322726214;0,272913127;0,383375071
24.04.2017;0,321434796;0,389650534;0,312808938;0,254174935;0,36619298
25.04.2017;0,326136024;0,390010358;0,314850163;0,257796151;0,368827165
26.04.2017;0,346892865;0,417933766;0,328673534;0,277410257;0,389329945
27.04.2017;0,35341555;0,423563605;0,334437034;0,288230697;0,395486869
28.04.2017;0,343057608;0,414161234;0,329900927;0,280176748;0,391616696
29.04.2017;0,3475527;0,416135779;0,328609857;0,280265114;0,385437108
30.04.2017;0,330411907;0,394295984;0,319939253;0,26421403;0,37065905
01.05.2017;0,342802108;0,413397792;0,327732059;0,279720685;0,383980595
02.05.2017;0,346534086;0,423262091;0,334408952;0,287591192;0,390479259
03.05.2017;0,348103237;0,415033616;0,330163128;0,280142641;0,381730442
04.05.2017;0,357794805;0,423288047;0,334635281;0,283240934;0,391102764
05.05.2017;0,356508406;0,421774214;0,334682359;0,276811288;0,387071042
06.05.2017;0,346385541;0,400475311;0,326861082;0,262677246;0,375572616
07.05.2017;0,365057286;0,428655263;0,33770251;0,281618995;0,39298107
08.05.2017;0,378071716;0,44437702;0,344205157;0,30189018;0,406703529
09.05.2017;0,362767351;0,427145895;0,336788055;0,292635723;0,393660788
10.05.2017;0,345715291;0,399080094;0,326896751;0,27886606;0,376307031
11.05.2017;0,316884867;0,373832709;0,311854447;0,257589311;0,361791064
12.05.2017;0,334900237;0,375702113;0,318814988;0,271807317;0,364756622
13.05.2017;0,349959248;0,404649012;0,333036027;0,293015034;0,377260031
14.05.2017;0,379246794;0,453624023;0,354652933;0,331370559;0,411808684
15.05.2017;0,370381157;0,43804588;0,347643597;0,319815682;0,403559666
16.05.2017;0,349782149;0,405565864;0,33428441;0,300065875;0,387335438
17.05.2017;0,297748378;0,371747385;0,311605426;0,268812375;0,37028895
18.05.2017;0,229631855;0,345003503;0,282975644;0,237763758;0,353920277
19.05.2017;0,230625159;0,332561802;0,277018919;0,23593728;0,345914266
20.05.2017;0,279145107;0,34972073;0,302286922;0,255910012;0,352613141
21.05.2017;0,271311262;0,343769267;0,296516298;0,24625366;0,348194386
22.05.2017;0,218851119;0,326732226;0,269669881;0,213169838;0,336831485
23.05.2017;0,183142938;0,302168129;0,236041151;0,184161553;0,321558958
