Nr,PlotID,Origin,Transplant,Treatment,trt,Event,Datum,Biomass,C,N,P
287,EB-56,EB,GW,Intensive,IN,FirstCut,13.05.2018,453.810868,42.4,2.23,2.84
288,GW-113,GW,GW,Intensive,IN,FirstCut,13.05.2018,341.1999038,43.3,2.31,2.96
289,GW-125,GW,GW,Intensive,IN,FirstCut,13.05.2018,244.7166405,42.7,2.08,3.01
290,GW-27,GW,GW,Intensive,IN,FirstCut,13.05.2018,320.8280711,42.8,2.04,2.43
291,GW-33,GW,GW,Intensive,IN,FirstCut,13.05.2018,289.8459088,43.8,3.07,2.91
292,GW-67,GW,GW,Intensive,IN,FirstCut,13.05.2018,254.3366726,43.8,2.66,3.03
293,GW-77,GW,GW,Intensive,IN,FirstCut,13.05.2018,206.8023963,43.6,2.57,3.25
294,EB-136,EB,FE,Intensive,IN,FirstCut,13.05.2018,189.2599848,43.4,2.24,2.19
295,EB-148,EB,FE,Intensive,IN,FirstCut,13.05.2018,305.6906676,44.6,1.99,2.62
296,EB-242,EB,FE,Intensive,IN,FirstCut,13.05.2018,448.8593808,44.5,2.36,2.42
297,EB-257,EB,FE,Intensive,IN,FirstCut,13.05.2018,200.4361986,44.9,2.48,2.26
298,EB-39,EB,FE,Intensive,IN,FirstCut,13.05.2018,482.1050801,44.1,2.21,2.73
299,EB-51,EB,FE,Intensive,IN,FirstCut,13.05.2018,519.7363822,44.3,2.39,2.68
300,GW-102,GW,FE,Intensive,IN,FirstCut,13.05.2018,426.7898954,44.2,1.61,2.64
301,GW-12,GW,FE,Intensive,IN,FirstCut,13.05.2018,436.6928696,44.8,1.85,2.53
302,GW-20,GW,FE,Intensive,IN,FirstCut,13.05.2018,379.5385612,44,2.35,2.52
303,GW-44,GW,FE,Intensive,IN,FirstCut,13.05.2018,393.119783,44.4,1.89,2.58
304,GW-56,GW,FE,Intensive,IN,FirstCut,13.05.2018,318.7060052,43.5,1.83,2.66
305,GW-92,GW,FE,Intensive,IN,FirstCut,13.05.2018,539.2593885,42.7,1.31,2.27
306,EB-40,EB,EB,Extensive,EX,FirstCut,12.06.2018,481.3977248,42.1,1.94,2.36
307,EB-58,EB,EB,Extensive,EX,FirstCut,12.06.2018,233.5404267,43,2.13,2.32
308,EB-143,EB,EB,Extensive,EX,FirstCut,12.06.2018,257.8734491,43.2,2.28,2.95
309,EB-155,EB,EB,Extensive,EX,FirstCut,12.06.2018,548.8794206,42.8,2.25,2.61
310,EB-237,EB,EB,Extensive,EX,FirstCut,12.06.2018,557.2262132,43.9,1.54,1.66
311,EB-246,EB,EB,Extensive,EX,FirstCut,12.06.2018,401.8909887,43.1,1.92,2.21
312,EB-08,EB,GW,Extensive,EX,FirstCut,12.06.2018,867.3307779,43,1.23,1.55
313,EB-111,EB,GW,Extensive,EX,FirstCut,12.06.2018,713.6932061,43.3,1.49,1.78
314,EB-123,EB,GW,Extensive,EX,FirstCut,12.06.2018,563.3094688,42.9,1.46,2.14
315,EB-214,EB,GW,Extensive,EX,FirstCut,12.06.2018,732.5088572,43.1,1.53,1.57
316,EB-226,EB,GW,Extensive,EX,FirstCut,12.06.2018,921.372723,42.7,1.61,1.68
317,EB-26,EB,GW,Extensive,EX,FirstCut,12.06.2018,576.7492196,43.6,1.46,1.61
318,GW-07,GW,GW,Extensive,EX,FirstCut,12.06.2018,574.7686247,43.3,1.25,1.44
319,GW-101,GW,GW,Extensive,EX,FirstCut,12.06.2018,676.061904,42.9,1.43,2.42
320,GW-17,GW,GW,Extensive,EX,FirstCut,12.06.2018,591.0377967,43.5,1.27,2.05
321,GW-43,GW,GW,Extensive,EX,FirstCut,12.06.2018,578.7298144,43.3,1.14,1.51
322,GW-53,GW,GW,Extensive,EX,FirstCut,12.06.2018,607.4484397,42.7,1.44,2.09
323,GW-85,GW,GW,Extensive,EX,FirstCut,12.06.2018,490.8762858,43.7,1.31,2.3
324,EB-21,EB,FE,Extensive,EX,FirstCut,12.06.2018,416.8869212,43.7,1.65,2.23
325,EB-09,EB,FE,Extensive,EX,FirstCut,12.06.2018,768.0180934,43.9,1.42,1.77
326,EB-109,EB,FE,Extensive,EX,FirstCut,12.06.2018,357.3276047,43.8,1.77,3.05
327,EB-121,EB,FE,Extensive,EX,FirstCut,12.06.2018,404.4374678,43.8,1.63,2.3
328,EB-215,EB,FE,Extensive,EX,FirstCut,12.06.2018,795.3220081,44,1.54,1.63
329,EB-230,EB,FE,Extensive,EX,FirstCut,12.06.2018,564.8656505,43.5,1.59,1.96
330,GW-110,GW,FE,Extensive,EX,FirstCut,12.06.2018,770.7060435,43.7,1.06,1.98
331,GW-118,GW,FE,Extensive,EX,FirstCut,12.06.2018,801.9711479,43.3,1.07,2.09
332,GW-26,GW,FE,Extensive,EX,FirstCut,12.06.2018,688.2284152,43.7,1.38,1.79
333,GW-38,GW,FE,Extensive,EX,FirstCut,12.06.2018,609.1460924,43.4,1.76,2.16
334,GW-70,GW,FE,Extensive,EX,FirstCut,12.06.2018,658.0950794,43.3,1.26,2.5
335,GW-82,GW,FE,Extensive,EX,FirstCut,12.06.2018,805.9323376,43.8,1.52,2.01
336,EB-116,EB,EB,Intensive,IN,Cutting,25.06.2018,236.511319,42,1.83,2.71
337,EB-110,EB,EB,Intensive,IN,Cutting,25.06.2018,310.3592126,42.5,1.58,2.82
338,EB-10,EB,EB,Intensive,IN,Cutting,25.06.2018,276.264687,42.4,1.98,2.75
339,EB-207,EB,EB,Intensive,IN,Cutting,25.06.2018,297.7682882,43.7,1.84,2.03
340,EB-225,EB,EB,Intensive,IN,Cutting,25.06.2018,245.4239958,43.9,2.01,2.09
341,EB-22,EB,EB,Intensive,IN,Cutting,25.06.2018,249.8095987,43.2,1.93,2.66
342,EB-138,EB,GW,Intensive,IN,Cutting,25.06.2018,167.6149125,41.8,2.07,3.1
343,EB-147,EB,GW,Intensive,IN,Cutting,25.06.2018,238.4919138,41.8,1.79,3.12
344,EB-235,EB,GW,Intensive,IN,Cutting,25.06.2018,260.8443414,42.2,2.17,2.56
345,EB-253,EB,GW,Intensive,IN,Cutting,25.06.2018,277.3964555,42.3,2.01,2.49
346,EB-38,EB,GW,Intensive,IN,Cutting,25.06.2018,224.4862788,42.2,1.95,2.74
347,EB-56,EB,GW,Intensive,IN,Cutting,25.06.2018,232.5501293,42,1.98,3.28
348,GW-113,GW,GW,Intensive,IN,Cutting,25.06.2018,253.0634331,42.4,1.84,3.33
349,GW-125,GW,GW,Intensive,IN,Cutting,25.06.2018,218.8274364,42.9,1.59,3.12
350,GW-27,GW,GW,Intensive,IN,Cutting,25.06.2018,240.1895666,41.7,1.9,2.77
351,GW-33,GW,GW,Intensive,IN,Cutting,25.06.2018,348.1319857,43,1.95,2.66
352,GW-67,GW,GW,Intensive,IN,Cutting,25.06.2018,279.0941082,42.8,1.89,2.9
353,GW-77,GW,GW,Intensive,IN,Cutting,25.06.2018,241.321335,42.5,1.85,3.47
354,EB-136,EB,FE,Intensive,IN,Cutting,25.06.2018,200.1532564,43.3,2,2.49
355,EB-148,EB,FE,Intensive,IN,Cutting,25.06.2018,292.1094458,42.8,1.67,3.3
356,EB-242,EB,FE,Intensive,IN,Cutting,25.06.2018,290.8362062,43.6,1.9,2.7
357,EB-257,EB,FE,Intensive,IN,Cutting,25.06.2018,272.0205552,43.8,1.44,1.91
358,EB-39,EB,FE,Intensive,IN,Cutting,25.06.2018,244.9995826,43.6,2.01,2.85
359,EB-51,EB,FE,Intensive,IN,Cutting,25.06.2018,138.0474609,43.1,2.37,3.29
360,GW-102,GW,FE,Intensive,IN,Cutting,25.06.2018,221.2324445,43.4,1.62,3.54
361,GW-12,GW,FE,Intensive,IN,Cutting,25.06.2018,228.5889396,43.1,1.82,3.33
362,GW-20,GW,FE,Intensive,IN,Cutting,25.06.2018,312.6227496,43,1.64,2.81
363,GW-44,GW,FE,Intensive,IN,Cutting,25.06.2018,167.1904993,43.3,1.82,3.73
364,GW-56,GW,FE,Intensive,IN,Cutting,25.06.2018,221.6568576,43.2,2.01,3.48
365,GW-92,GW,FE,Intensive,IN,Cutting,25.06.2018,611.4096294,43.4,1.32,3.07
366,EB-40,EB,EB,Extensive,EX,Cutting,09.08.2018,459.8516822,42.9,1.6,2.8
367,EB-58,EB,EB,Extensive,EX,Cutting,09.08.2018,261.5092554,43.1,2.07,2.93
368,EB-143,EB,EB,Extensive,EX,Cutting,09.08.2018,277.071072,43,3.22,3.54
369,EB-155,EB,EB,Extensive,EX,Cutting,09.08.2018,359.1242871,41.5,2.24,2.93
370,EB-237,EB,EB,Extensive,EX,Cutting,09.08.2018,325.3127037,43.8,2.04,2.12
371,EB-246,EB,EB,Extensive,EX,Cutting,09.08.2018,288.2472858,43.1,2.14,2.39
372,EB-116,EB,EB,Intensive,IN,Cutting,09.08.2018,212.9846816,42,2.06,3.5
373,EB-110,EB,EB,Intensive,IN,Cutting,09.08.2018,253.0209918,42.6,2.02,3.38
374,EB-10,EB,EB,Intensive,IN,Cutting,09.08.2018,258.1139499,43.1,2.37,3.35
375,EB-207,EB,EB,Intensive,IN,Cutting,09.08.2018,258.3968921,43.8,2.46,2.56
376,EB-225,EB,EB,Intensive,IN,Cutting,09.08.2018,263.065437,43.3,2.37,2.42
377,EB-22,EB,EB,Intensive,IN,Cutting,09.08.2018,339.1768676,43.1,2.13,3.03
378,EB-08,EB,GW,Extensive,EX,Cutting,09.08.2018,398.1702999,43.2,1.8,2.54
379,EB-111,EB,GW,Extensive,EX,Cutting,09.08.2018,439.4798495,43.4,1.95,2.28
380,EB-123,EB,GW,Extensive,EX,Cutting,09.08.2018,373.9787485,41.3,1.72,2.46
381,EB-214,EB,GW,Extensive,EX,Cutting,09.08.2018,517.2889328,41.3,1.93,2
382,EB-226,EB,GW,Extensive,EX,Cutting,09.08.2018,641.641995,42.8,1.77,1.8
383,EB-26,EB,GW,Extensive,EX,Cutting,09.08.2018,331.5374303,42.3,1.94,2.46
384,GW-07,GW,GW,Extensive,EX,Cutting,09.08.2018,409.0635715,43.2,1.62,1.89
385,GW-101,GW,GW,Extensive,EX,Cutting,09.08.2018,412.0344638,43.4,1.58,2.92
386,GW-17,GW,GW,Extensive,EX,Cutting,09.08.2018,373.8372774,43.4,1.7,2.55
387,GW-43,GW,GW,Extensive,EX,Cutting,09.08.2018,478.2429201,43.4,1.99,3.6
388,GW-53,GW,GW,Extensive,EX,Cutting,09.08.2018,430.5671727,42.6,1.8,2.47
389,GW-85,GW,GW,Extensive,EX,Cutting,09.08.2018,325.1712326,43.3,1.67,2.87
390,EB-138,EB,GW,Intensive,IN,Cutting,09.08.2018,278.2028405,42.6,2.15,3.17
391,EB-147,EB,GW,Intensive,IN,Cutting,09.08.2018,264.7630898,42,2.22,3.29
392,EB-235,EB,GW,Intensive,IN,Cutting,09.08.2018,304.7993999,43.2,2.31,2.6
393,EB-253,EB,GW,Intensive,IN,Cutting,09.08.2018,306.0726394,43.4,2.33,2.53
394,EB-38,EB,GW,Intensive,IN,Cutting,09.08.2018,289.2375832,41.5,2.06,2.68
395,EB-56,EB,GW,Intensive,IN,Cutting,09.08.2018,365.6319559,42.7,2.22,3.01
396,GW-113,GW,GW,Intensive,IN,Cutting,09.08.2018,281.8810881,43.8,1.87,2.99
397,GW-125,GW,GW,Intensive,IN,Cutting,09.08.2018,260.8019001,43.3,1.65,2.11
398,GW-27,GW,GW,Intensive,IN,Cutting,09.08.2018,310.7411844,43.3,2.5,3.35
399,GW-33,GW,GW,Intensive,IN,Cutting,09.08.2018,353.0410315,44,2.12,2.96
400,GW-67,GW,GW,Intensive,IN,Cutting,09.08.2018,351.0604367,43.4,1.89,3.05
401,GW-77,GW,GW,Intensive,IN,Cutting,09.08.2018,269.997519,42.9,1.75,3.66
402,EB-21,EB,FE,Extensive,EX,Cutting,09.08.2018,325.7371169,43.7,1.56,2.69
403,EB-09,EB,FE,Extensive,EX,Cutting,09.08.2018,322.2003403,43.6,1.58,2.63
404,EB-109,EB,FE,Extensive,EX,Cutting,09.08.2018,270.2804611,43.7,1.74,3.03
405,EB-121,EB,FE,Extensive,EX,Cutting,09.08.2018,338.8939255,43.6,1.74,2.98
406,EB-215,EB,FE,Extensive,EX,Cutting,09.08.2018,322.3418114,44,1.62,2.15
407,EB-230,EB,FE,Extensive,EX,Cutting,09.08.2018,373.2713932,44,1.65,2.04
408,GW-110,GW,FE,Extensive,EX,Cutting,09.08.2018,291.2181781,44.1,1.57,3.03
409,GW-118,GW,FE,Extensive,EX,Cutting,09.08.2018,448.2510553,43.5,1.44,2.84
410,GW-26,GW,FE,Extensive,EX,Cutting,09.08.2018,315.8341426,43.7,1.89,2.65
411,GW-38,GW,FE,Extensive,EX,Cutting,09.08.2018,418.1177194,43.3,1.85,2.71
412,GW-70,GW,FE,Extensive,EX,Cutting,09.08.2018,377.515525,43.9,1.73,3.44
413,GW-82,GW,FE,Extensive,EX,Cutting,09.08.2018,410.19534,42.9,1.54,2.57
414,EB-136,EB,FE,Intensive,IN,Cutting,09.08.2018,234.7712249,44.3,1.79,2.56
415,EB-148,EB,FE,Intensive,IN,Cutting,09.08.2018,271.1292875,44.2,2.08,3.3
416,EB-242,EB,FE,Intensive,IN,Cutting,09.08.2018,271.4122296,44.1,2.02,2.95
417,EB-257,EB,FE,Intensive,IN,Cutting,09.08.2018,141.6832671,44.6,2.71,2.42
418,EB-39,EB,FE,Intensive,IN,Cutting,09.08.2018,307.0629369,43.8,2.06,2.6
419,EB-51,EB,FE,Intensive,IN,Cutting,09.08.2018,315.5512005,44.1,2.43,2.58
420,GW-102,GW,FE,Intensive,IN,Cutting,09.08.2018,327.7177117,43.6,1.76,3.94
421,GW-12,GW,FE,Intensive,IN,Cutting,09.08.2018,197.9887492,43.9,2.39,3.51
422,GW-20,GW,FE,Intensive,IN,Cutting,09.08.2018,265.187503,43.8,2.15,3.34
423,GW-44,GW,FE,Intensive,IN,Cutting,09.08.2018,261.5092554,43,2.01,3.93
424,GW-56,GW,FE,Intensive,IN,Cutting,09.08.2018,243.2594886,43.3,1.99,4.24
425,GW-92,GW,FE,Intensive,IN,Cutting,09.08.2018,320.3612166,42.5,1.74,3.96
426,EB-116,EB,EB,Intensive,IN,Cutting,17.09.2018,60.94573287,41.2,3.06,4.59
427,EB-110,EB,EB,Intensive,IN,Cutting,17.09.2018,65.89721999,43.5,3.16,4.83
428,EB-10,EB,EB,Intensive,IN,Cutting,17.09.2018,46.94009788,43.3,3.59,4.58
429,EB-207,EB,EB,Intensive,IN,Cutting,17.09.2018,51.1842297,44.5,3.53,3.8
430,EB-225,EB,EB,Intensive,IN,Cutting,17.09.2018,72.97077302,44.7,3.42,3.81
431,EB-22,EB,EB,Intensive,IN,Cutting,17.09.2018,55.99424576,44,3.26,4.25
432,EB-138,EB,GW,Intensive,IN,Cutting,17.09.2018,68.0192859,43.1,2.87,3.81
433,EB-147,EB,GW,Intensive,IN,Cutting,17.09.2018,52.17452712,43.5,3.08,4.12
434,EB-235,EB,GW,Intensive,IN,Cutting,17.09.2018,90.37171346,43.5,3.04,3.74
435,EB-253,EB,GW,Intensive,IN,Cutting,17.09.2018,137.9059898,43.5,3.13,3.38
436,EB-38,EB,GW,Intensive,IN,Cutting,17.09.2018,61.9360303,43.8,3.24,3.87
437,EB-56,EB,GW,Intensive,IN,Cutting,17.09.2018,84.28845786,43.2,3.13,3.96
438,GW-113,GW,GW,Intensive,IN,Cutting,17.09.2018,40.29095804,44.3,2.98,4.28
439,GW-125,GW,GW,Intensive,IN,Cutting,17.09.2018,46.94009788,44.3,2.98,4.94
440,GW-27,GW,GW,Intensive,IN,Cutting,17.09.2018,64.48250939,44.3,3.11,3.84
441,GW-33,GW,GW,Intensive,IN,Cutting,17.09.2018,82.16639195,44.6,3.61,3.88
442,GW-67,GW,GW,Intensive,IN,Cutting,17.09.2018,23.73884396,44.4,3.15,3.91
443,GW-77,GW,GW,Intensive,IN,Cutting,17.09.2018,1.414710605,42.5,3.04,2.6
444,EB-136,EB,FE,Intensive,IN,Cutting,17.09.2018,55.42836151,44.7,3.66,4.37
445,EB-148,EB,FE,Intensive,IN,Cutting,17.09.2018,29.25621532,43.8,3.99,3.98
446,EB-242,EB,FE,Intensive,IN,Cutting,17.09.2018,1.414710605,44.3,4.23,3.48
447,EB-257,EB,FE,Intensive,IN,Cutting,17.09.2018,8.742911541,44.8,4.4,3.77
448,EB-39,EB,FE,Intensive,IN,Cutting,17.09.2018,59.81396439,44.6,3.5,4.75
449,EB-51,EB,FE,Intensive,IN,Cutting,17.09.2018,122.2027021,44.6,4.06,3.92
450,GW-102,GW,FE,Intensive,IN,Cutting,17.09.2018,70.28282287,43.1,2.66,5.21
451,GW-12,GW,FE,Intensive,IN,Cutting,17.09.2018,111.5923725,44.8,3.25,3.66
452,GW-20,GW,FE,Intensive,IN,Cutting,17.09.2018,126.1638918,44.7,3.09,4.06
453,GW-44,GW,FE,Intensive,IN,Cutting,17.09.2018,94.75731634,44,3.54,4.7
454,GW-56,GW,FE,Intensive,IN,Cutting,17.09.2018,31.0953391,44.1,3.52,5.05
455,GW-92,GW,FE,Intensive,IN,Cutting,17.09.2018,103.6699932,42.9,2.86,4.87
456,EB-40,EB,EB,Extensive,EX,Cutting,22.10.2018,136.3073668,43.6,2.5,3.57
457,EB-58,EB,EB,Extensive,EX,Cutting,22.10.2018,111.6914023,43.3,2.38,2.82
458,EB-143,EB,EB,Extensive,EX,Cutting,22.10.2018,151.3032992,42.8,2.21,3.27
459,EB-155,EB,EB,Extensive,EX,Cutting,22.10.2018,147.6250517,40.4,2.39,3.02
460,EB-237,EB,EB,Extensive,EX,Cutting,22.10.2018,132.3461771,43.5,2.37,2.1
461,EB-246,EB,EB,Extensive,EX,Cutting,22.10.2018,125.2726241,39.5,2.37,2.62
462,EB-116,EB,EB,Intensive,IN,Cutting,22.10.2018,62.74241534,42.8,2.4,3.49
463,EB-110,EB,EB,Intensive,IN,Cutting,22.10.2018,31.76025309,42.7,3.08,3.72
464,EB-10,EB,EB,Intensive,IN,Cutting,22.10.2018,46.7561855,42.3,2.95,3.41
465,EB-207,EB,EB,Intensive,IN,Cutting,22.10.2018,55.66886232,42.4,3,3
466,EB-225,EB,EB,Intensive,IN,Cutting,22.10.2018,38.83380611,43.7,3.13,3.26
467,EB-22,EB,EB,Intensive,IN,Cutting,22.10.2018,71.79656322,44.1,3.05,3.34
468,EB-08,EB,GW,Extensive,EX,Cutting,22.10.2018,196.1496254,44,2.53,2.68
469,EB-111,EB,GW,Extensive,EX,Cutting,22.10.2018,240.1471252,43.3,2.4,2.48
470,EB-123,EB,GW,Extensive,EX,Cutting,22.10.2018,175.0704374,42.2,2.34,2.61
471,EB-214,EB,GW,Extensive,EX,Cutting,22.10.2018,156.2547864,42.9,2.62,2.33
472,EB-226,EB,GW,Extensive,EX,Cutting,22.10.2018,277.3540142,43.3,2.34,2.1
473,EB-26,EB,GW,Extensive,EX,Cutting,22.10.2018,177.3339744,43.5,2.41,2.62
474,GW-07,GW,GW,Extensive,EX,Cutting,22.10.2018,209.8723183,42.9,2.04,2.1
475,GW-101,GW,GW,Extensive,EX,Cutting,22.10.2018,230.6685642,43.1,2.35,3.26
476,GW-17,GW,GW,Extensive,EX,Cutting,22.10.2018,221.4729453,45,2.02,2.34
477,GW-43,GW,GW,Extensive,EX,Cutting,22.10.2018,153.000952,45.2,2.44,2.41
478,GW-53,GW,GW,Extensive,EX,Cutting,22.10.2018,166.7236448,44.7,2.28,2.72
479,GW-85,GW,GW,Extensive,EX,Cutting,22.10.2018,171.5336609,45.1,2.02,2.9
480,EB-138,EB,GW,Intensive,IN,Cutting,22.10.2018,89.0560326,45.9,2.98,3.48
481,EB-147,EB,GW,Intensive,IN,Cutting,22.10.2018,97.26135411,46,3.05,3.78
482,EB-235,EB,GW,Intensive,IN,Cutting,22.10.2018,43.64382217,45.4,3.1,3.21
483,EB-253,EB,GW,Intensive,IN,Cutting,22.10.2018,156.1133153,47.1,2.89,3.26
484,EB-38,EB,GW,Intensive,IN,Cutting,22.10.2018,73.91862912,47.9,3.12,3.12
485,EB-56,EB,GW,Intensive,IN,Cutting,22.10.2018,129.0923427,43.6,3.24,3.52
486,GW-113,GW,GW,Intensive,IN,Cutting,22.10.2018,67.41096034,44.5,3.02,3.62
487,GW-125,GW,GW,Intensive,IN,Cutting,22.10.2018,59.77152307,43.9,3.07,4.58
488,GW-27,GW,GW,Intensive,IN,Cutting,22.10.2018,59.20563883,43.2,2.63,3.49
489,GW-33,GW,GW,Intensive,IN,Cutting,22.10.2018,119.8967238,43.5,2.41,3.16
490,GW-67,GW,GW,Intensive,IN,Cutting,22.10.2018,57.93239929,44,3.03,3.4
491,GW-77,GW,GW,Intensive,IN,Cutting,22.10.2018,9.690767646,41.9,3.16,2.47
492,EB-21,EB,FE,Extensive,EX,Cutting,22.10.2018,213.974979,42.9,2.04,2.98
493,EB-09,EB,FE,Extensive,EX,Cutting,22.10.2018,364.6416585,43.5,2.27,3.06
494,EB-109,EB,FE,Extensive,EX,Cutting,22.10.2018,142.3906224,43.4,3.11,3.06
495,EB-121,EB,FE,Extensive,EX,Cutting,22.10.2018,246.0889098,43.6,2.17,3.07
496,EB-215,EB,FE,Extensive,EX,Cutting,22.10.2018,287.2569884,43.9,2.1,2.26
497,EB-230,EB,FE,Extensive,EX,Cutting,22.10.2018,275.0904772,43.2,2.28,3.15
498,GW-110,GW,FE,Extensive,EX,Cutting,22.10.2018,198.5546334,43.7,2.26,3.43
499,GW-118,GW,FE,Extensive,EX,Cutting,22.10.2018,282.0225592,42.1,1.82,3.12
500,GW-26,GW,FE,Extensive,EX,Cutting,22.10.2018,282.1640302,43.8,2.55,3.18
501,GW-38,GW,FE,Extensive,EX,Cutting,22.10.2018,303.3846893,43.5,2.1,3.17
502,GW-70,GW,FE,Extensive,EX,Cutting,22.10.2018,231.5173906,43.2,2.48,4.07
503,GW-82,GW,FE,Extensive,EX,Cutting,22.10.2018,266.0363293,43,2.02,3.17
504,EB-136,EB,FE,Intensive,IN,Cutting,22.10.2018,50.0100199,42.1,3.19,2.99
505,EB-148,EB,FE,Intensive,IN,Cutting,22.10.2018,96.12958563,44,2.94,3.51
506,EB-242,EB,FE,Intensive,IN,Cutting,22.10.2018,74.20157125,43.4,3.06,2.95
507,EB-257,EB,FE,Intensive,IN,Cutting,22.10.2018,83.82160336,44.5,3.2,3.42
508,EB-39,EB,FE,Intensive,IN,Cutting,22.10.2018,130.6485244,44.5,2.98,3.75
509,EB-51,EB,FE,Intensive,IN,Cutting,22.10.2018,109.4278653,44.5,3.44,3.51
510,GW-102,GW,FE,Intensive,IN,Cutting,22.10.2018,53.40532535,43.1,3.03,4.58
511,GW-12,GW,FE,Intensive,IN,Cutting,22.10.2018,81.41659533,43.9,3.91,3.45
512,GW-20,GW,FE,Intensive,IN,Cutting,22.10.2018,80.56776897,43.7,4.16,3.94
513,GW-44,GW,FE,Intensive,IN,Cutting,22.10.2018,70.94773685,44.6,3.6,3.88
514,GW-56,GW,FE,Intensive,IN,Cutting,22.10.2018,76.32363715,43.9,3.13,4.35
515,GW-92,GW,FE,Intensive,IN,Cutting,22.10.2018,105.3252046,43.6,2.87,4.12
